ID,Title,Detail,Status,Priority,Deadline
"Unique task identifier","Brief task name","Task description","Completion percentage","Priority level","Task due date"
1,"coding","",0%,"",""
2,"graduate project","",0%,"",""
3,"Eating","",0%,"",""
4,"Homework","",0%,"",""
5,"shoping","",0%,"",""
6,"Remind class of duty shift","",0%,"",""
7,"Check mail","",0%,"",""
8,"Build model for IoT Challenge","",0%,"",""
9,"Simulate photonic chip's trip","",0%,"",""
10,"Buy a new book","",0%,"",""
11,"digital design","",0%,"",""
12,"photonic design","",0%,"",""
13,"theory circuit","",0%,"",""
14,"electromagnetic field,","",0%,"",""
15,"AI homework","",0%,"",""
16,"Eating","",0%,"",""
